service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
28046026,1,1,1,1,1,0,0,20210913,20310913
28046028,1,1,1,1,1,0,0,20210913,20310913
28046030,1,1,1,1,1,0,0,20210913,20310913
28046032,1,1,1,1,1,0,0,20210913,20310913
28046034,1,1,1,1,1,0,0,20210913,20310913
28046036,1,1,1,1,1,0,0,20210913,20310913
28046038,1,1,1,1,1,0,0,20210913,20310913
28046040,1,1,1,1,1,0,0,20210913,20310913
28046042,1,1,1,1,1,0,0,20210913,20310913
28046044,0,0,0,0,0,1,0,20210913,20310913
28046046,0,0,0,0,0,1,0,20210913,20310913
28046050,0,0,0,0,0,0,1,20210913,20310913
28046048,0,0,0,0,0,0,1,20210913,20310913
28046043,1,1,1,1,1,0,0,20210913,20310913
28046041,1,1,1,1,1,0,0,20210913,20310913
28046039,1,1,1,1,1,0,0,20210913,20310913
28046037,1,1,1,1,1,0,0,20210913,20310913
28046035,1,1,1,1,1,0,0,20210913,20310913
28046033,1,1,1,1,1,0,0,20210913,20310913
28046031,1,1,1,1,1,0,0,20210913,20310913
28046029,1,1,1,1,1,0,0,20210913,20310913
28046027,1,1,1,1,1,0,0,20210913,20310913
28046047,0,0,0,0,0,1,0,20210913,20310913
28046045,0,0,0,0,0,1,0,20210913,20310913
28046049,0,0,0,0,0,0,1,20210913,20310913
28046051,0,0,0,0,0,0,1,20210913,20310913
28045988,1,1,1,1,1,0,0,20210913,20310913
28045990,1,1,1,1,1,0,0,20210913,20310913
28045992,1,1,1,1,1,0,0,20210913,20310913
28045994,1,1,1,1,1,0,0,20210913,20310913
28045996,1,1,1,1,1,0,0,20210913,20310913
28045998,1,1,1,1,1,0,0,20210913,20310913
28046000,1,1,1,1,1,0,0,20210913,20310913
28046002,1,1,1,1,1,0,0,20210913,20310913
28046004,1,1,1,1,1,0,0,20210913,20310913
28046006,1,1,1,1,1,0,0,20210913,20310913
28046008,1,1,1,1,1,0,0,20210913,20310913
28046010,0,0,0,0,0,1,0,20210913,20310913
28046016,0,0,0,0,0,1,0,20210913,20310913
28046012,0,0,0,0,0,1,0,20210913,20310913
28046014,0,0,0,0,0,1,0,20210913,20310913
28046018,0,0,0,0,0,0,1,20210913,20310913
28046024,0,0,0,0,0,0,1,20210913,20310913
28046020,0,0,0,0,0,0,1,20210913,20310913
28046022,0,0,0,0,0,0,1,20210913,20310913
28046009,1,1,1,1,1,0,0,20210913,20310913
28046007,1,1,1,1,1,0,0,20210913,20310913
28046005,1,1,1,1,1,0,0,20210913,20310913
28046003,1,1,1,1,1,0,0,20210913,20310913
28046001,1,1,1,1,1,0,0,20210913,20310913
28045999,1,1,1,1,1,0,0,20210913,20310913
28045997,1,1,1,1,1,0,0,20210913,20310913
28045995,1,1,1,1,1,0,0,20210913,20310913
28045993,1,1,1,1,1,0,0,20210913,20310913
28045991,1,1,1,1,1,0,0,20210913,20310913
28045989,1,1,1,1,1,0,0,20210913,20310913
28046015,0,0,0,0,0,1,0,20210913,20310913
28046013,0,0,0,0,0,1,0,20210913,20310913
28046011,0,0,0,0,0,1,0,20210913,20310913
28046017,0,0,0,0,0,1,0,20210913,20310913
28046023,0,0,0,0,0,0,1,20210913,20310913
28046021,0,0,0,0,0,0,1,20210913,20310913
28046025,0,0,0,0,0,0,1,20210913,20310913
28046019,0,0,0,0,0,0,1,20210913,20310913
28046118,1,1,1,1,1,0,0,20210914,20310914
28046120,1,1,1,1,1,0,0,20210914,20310914
