trip_id,start_time,end_time,headway_secs,exact_times
28046026,06:30:00,07:15:00,450,0
28046028,07:15:00,09:30:00,245,0
28046030,09:30:00,10:00:00,290,0
28046032,10:05:50,16:45:00,700,0
28046034,16:45:00,19:00:00,265,0
28046036,19:00:00,20:00:00,320,0
28046038,20:00:00,20:30:00,355,0
28046040,20:30:00,21:00:00,535,0
28046042,21:00:00,25:05:00,525,0
28046044,06:30:00,20:30:00,535,0
28046046,20:30:00,25:05:00,520,0
28046050,20:30:00,25:05:00,520,0
28046048,06:30:00,20:30:00,535,0
28046043,21:00:00,25:05:00,525,0
28046041,20:30:00,21:00:00,535,0
28046039,20:00:00,20:30:00,355,0
28046037,19:00:00,20:00:00,320,0
28046035,16:45:00,19:00:00,265,0
28046033,10:00:00,16:45:00,700,0
28046031,09:30:00,10:00:00,290,0
28046029,07:15:00,09:30:00,245,0
28046027,06:30:00,07:15:00,450,0
28046047,20:30:00,25:05:00,520,0
28046045,06:30:00,20:30:00,535,0
28046049,06:30:00,20:30:00,535,0
28046051,20:30:00,25:05:00,520,0
28045988,06:30:00,07:00:00,420,0
28045990,07:00:00,07:30:00,350,0
28045992,07:30:00,09:30:00,275,0
28045994,09:30:00,10:00:00,295,0
28045996,10:00:00,16:45:00,400,0
28045998,16:45:00,19:00:00,295,0
28046000,19:00:00,20:00:00,350,0
28046002,20:00:00,20:30:00,400,0
28046004,20:30:00,21:00:00,440,0
28046006,21:00:00,22:30:00,485,0
28046008,22:30:00,25:05:00,550,0
28046010,06:30:00,12:00:00,490,0
28046016,22:20:00,25:05:00,550,0
28046012,12:00:00,20:15:00,440,0
28046014,20:15:00,22:20:00,485,0
28046018,06:30:00,12:00:00,490,0
28046024,22:20:00,25:05:00,550,0
28046020,12:00:00,20:15:00,440,0
28046022,20:15:00,22:20:00,485,0
28046009,22:30:00,25:05:00,550,0
28046007,21:00:00,22:30:00,485,0
28046005,20:30:00,21:00:00,440,0
28046003,20:00:00,20:30:00,400,0
28046001,19:00:00,20:00:00,350,0
28045999,16:45:00,19:00:00,295,0
28045997,10:00:00,16:45:00,400,0
28045995,09:30:00,10:00:00,295,0
28045993,07:30:00,09:30:00,275,0
28045991,07:00:00,07:30:00,350,0
28045989,06:30:00,07:00:00,420,0
28046015,20:15:00,22:20:00,485,0
28046013,12:00:00,20:15:00,440,0
28046011,06:30:00,12:00:00,490,0
28046017,22:20:00,25:05:00,550,0
28046023,20:15:00,22:20:00,485,0
28046021,12:00:00,20:15:00,440,0
28046025,22:20:00,25:05:00,550,0
28046019,06:30:00,12:00:00,490,0
28046118,21:00:00,22:15:00,475,0
28046120,22:15:00,25:05:00,710,0
28046108,06:30:00,07:15:00,410,0
28046110,07:15:00,10:00:00,335,0
28046112,10:00:00,16:15:00,365,0
28046114,16:15:00,20:30:00,335,0
28046116,20:30:00,21:00:00,360,0
28046122,06:30:00,21:30:00,485,0
28046124,21:30:00,22:40:00,480,0
28046126,22:40:00,25:05:00,570,0
28046128,06:30:00,21:30:00,485,0
28046130,21:30:00,22:40:00,480,0
28046132,22:40:00,25:05:00,570,0
28046117,20:30:00,21:00:00,360,0
28046115,16:15:00,20:30:00,335,0
28046113,10:00:00,16:15:00,365,0
28046111,07:15:00,10:00:00,335,0
28046109,06:30:00,07:15:00,410,0
28046121,22:15:00,25:05:00,710,0
28046119,21:00:00,22:15:00,475,0
28046127,22:40:00,25:05:00,570,0
28046125,21:30:00,22:40:00,480,0
28046123,06:30:00,21:30:00,485,0
28046133,22:40:00,25:05:00,570,0
28046129,06:30:00,21:30:00,485,0
28046131,21:30:00,22:40:00,480,0
28046078,06:30:00,07:10:00,585,0
28046080,07:10:00,09:45:00,375,0
28046082,09:45:00,16:30:00,420,0
28046084,16:30:00,19:15:00,375,0
28046086,19:15:00,20:30:00,425,0
28046088,20:30:00,22:30:00,475,0
28046090,22:30:00,25:05:00,565,0
28046092,06:30:00,12:00:00,490,0
28046094,12:00:00,20:15:00,420,0
28046096,20:15:00,22:15:00,480,0
28046098,22:15:00,25:05:00,570,0
28046100,06:30:00,12:00:00,490,0
28046106,22:15:00,25:05:00,570,0
28046102,12:00:00,20:15:00,420,0
28046104,20:15:00,22:15:00,480,0
28046091,22:30:00,25:05:00,565,0
28046089,20:30:00,22:30:00,475,0
28046087,19:15:00,20:30:00,425,0
28046085,16:30:00,19:15:00,375,0
28046083,09:45:00,16:30:00,420,0
28046081,07:10:00,09:45:00,375,0
28046079,06:30:00,07:10:00,585,0
28046099,22:15:00,25:05:00,570,0
28046097,20:15:00,22:15:00,480,0
28046095,12:00:00,20:15:00,420,0
28046093,06:30:00,12:00:00,490,0
28046105,20:15:00,22:15:00,480,0
28046103,12:00:00,20:15:00,420,0
28046107,22:15:00,25:05:00,570,0
28046101,06:30:00,12:00:00,490,0
25816318,10:00:00,16:45:00,700,0
25816319,10:15:44,16:45:00,700,0
