shape_seg_id,shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
M1019,164,38.72593,-9.14965,1,
M1018,164,38.73024,-9.14703,2,
M1718,164,38.73483,-9.14528,3,
M1617,164,38.74079,-9.14673,4,
M1516,164,38.74698,-9.14823,5,
M1415,164,38.75144,-9.15915,6,
M1314,164,38.76016,-9.15788,7,
M1338,164,38.76745,-9.15549,8,
M3839,164,38.77329,-9.15933,9,
M3940,164,38.77953,-9.15961,10,
M4041,164,38.78576,-9.1719,11,
M4142,164,38.79344,-9.17343,12,
M4142,165,38.78576,-9.1719,1,
M4041,165,38.77953,-9.15961,2,
M3940,165,38.77329,-9.15933,3,
M3839,165,38.76745,-9.15549,4,
M1338,165,38.76016,-9.15788,5,
M1314,165,38.75144,-9.15915,6,
M1415,165,38.74698,-9.14823,7,
M1516,165,38.74079,-9.14673,8,
M1617,165,38.73483,-9.14528,9,
M1718,165,38.73024,-9.14703,10,
M1018,165,38.72593,-9.14965,11,
M1019,165,38.72011,-9.15486,12,
M4450,166,38.75855,-9.21794,1,
M4344,166,38.76035,-9.20455,2,
M0143,166,38.76223,-9.19697,3,
M0102,166,38.75901,-9.19276,4,
M0203,166,38.75372,-9.18987,5,
M0304,166,38.74993,-9.18007,6,
M0405,166,38.74849,-9.17252,7,
M0506,166,38.7412,-9.16836,8,
M0607,166,38.7377,-9.15936,9,
M0708,166,38.734,-9.15365,10,
M0809,166,38.72914,-9.15015,11,
M0910,166,38.72593,-9.14965,12,
M1011,166,38.71934,-9.14513,13,
M1112,166,38.7161,-9.14239,14,
M1229,166,38.71041,-9.14018,15,
M4529,166,38.70722,-9.13286,16,
M4645,166,38.71378,-9.12212,17,
M4645,167,38.70722,-9.13286,1,
M4529,167,38.71041,-9.14018,2,
M1229,167,38.7161,-9.14239,3,
M1112,167,38.71934,-9.14513,4,
M1011,167,38.72593,-9.14965,5,
M0910,167,38.72914,-9.15015,6,
M0809,167,38.734,-9.15365,7,
M0708,167,38.7377,-9.15936,8,
M0607,167,38.7412,-9.16836,9,
M0506,167,38.74849,-9.17252,10,
M0405,167,38.74993,-9.18007,11,
M0304,167,38.75372,-9.18987,12,
M0203,167,38.75901,-9.19276,13,
M0102,167,38.76223,-9.19697,14,
M0143,167,38.76035,-9.20455,15,
M4344,167,38.75855,-9.21794,16,
M4450,167,38.75221,-9.22414,17,
M1337,168,38.76016,-9.15788,1,
M1320,168,38.75327,-9.1441,2,
M2021,168,38.74808,-9.1413,3,
M2122,168,38.74228,-9.13349,4,
M2223,168,38.73696,-9.13389,5,
M2324,168,38.73285,-9.1343,6,
M2425,168,38.72703,-9.13488,7,
M2526,168,38.72326,-9.13526,8,
M2627,168,38.71762,-9.1358,9,
M2728,168,38.71402,-9.13796,10,
M2829,168,38.71041,-9.14018,11,
M2930,168,38.70611,-9.14612,12,
M2930,169,38.71041,-9.14018,1,
M2829,169,38.71402,-9.13796,2,
M2728,169,38.71762,-9.1358,3,
M2627,169,38.72326,-9.13526,4,
M2526,169,38.72703,-9.13488,5,
M2425,169,38.73285,-9.1343,6,
M2324,169,38.73696,-9.13389,7,
M2223,169,38.74228,-9.13349,8,
M2122,169,38.74808,-9.1413,9,
M2021,169,38.75327,-9.1441,10,
M1320,169,38.76016,-9.15788,11,
M1337,169,38.76017,-9.16609,12,
M1708,170,38.73483,-9.14528,1,
M2317,170,38.73696,-9.13389,2,
M2331,170,38.74019,-9.12297,3,
M3132,170,38.7476,-9.11772,4,
M3233,170,38.75475,-9.11404,5,
M3334,170,38.76084,-9.11185,6,
M3435,170,38.76294,-9.10518,7,
M3536,170,38.76786,-9.09973,8,
M3647,170,38.77496,-9.10304,9,
M4748,170,38.77499,-9.11538,10,
M4849,170,38.76862,-9.12833,11,
M4849,171,38.77499,-9.11538,1,
M4748,171,38.77496,-9.10304,2,
M3647,171,38.76786,-9.09973,3,
M3536,171,38.76294,-9.10518,4,
M3435,171,38.76084,-9.11185,5,
M3334,171,38.75475,-9.11404,6,
M3233,171,38.7476,-9.11772,7,
M3132,171,38.74019,-9.12297,8,
M2331,171,38.73696,-9.13389,9,
M2317,171,38.73483,-9.14528,10,
M1708,171,38.734,-9.15365,11,
M1019,4921,38.72593,-9.14965,1,
M1018,4921,38.73024,-9.14703,2,
M1718,4921,38.73483,-9.14528,3,
M1617,4921,38.74079,-9.14673,4,
M1516,4921,38.74698,-9.14823,5,
M1415,4921,38.75144,-9.15915,6,
M1314,4921,38.76016,-9.15788,7,
M1314,4922,38.75144,-9.15915,1,
M1415,4922,38.74698,-9.14823,2,
M1516,4922,38.74079,-9.14673,3,
M1617,4922,38.73483,-9.14528,4,
M1718,4922,38.73024,-9.14703,5,
M1018,4922,38.72593,-9.14965,6,
M1019,4922,38.72011,-9.15486,7,
