trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
28046026,06:30:00,06:30:00,M19,0,,,,
28046026,06:31:08,06:31:36,M10,1,,,,
28046026,06:32:42,06:33:04,M18,2,,,,
28046026,06:33:58,06:34:26,M17,3,,,,
28046026,06:35:32,06:35:58,M16,4,,,,
28046026,06:37:07,06:37:34,M15,5,,,,
28046026,06:39:31,06:39:56,M14,6,,,,
28046026,06:41:56,06:42:37,M13,7,,,,
28046026,06:44:04,06:44:27,M38,8,,,,
28046026,06:45:35,06:45:57,M39,9,,,,
28046026,06:47:08,06:47:30,M40,10,,,,
28046026,06:49:58,06:50:23,M41,11,,,,
28046026,06:51:54,06:52:34,M42,12,,,,
28046028,07:15:00,07:15:00,M19,0,,,,
28046028,07:16:08,07:16:36,M10,1,,,,
28046028,07:17:42,07:18:04,M18,2,,,,
28046028,07:18:58,07:19:26,M17,3,,,,
28046028,07:20:32,07:20:58,M16,4,,,,
28046028,07:22:07,07:22:34,M15,5,,,,
28046028,07:24:31,07:24:56,M14,6,,,,
28046028,07:26:56,07:27:37,M13,7,,,,
28046028,07:29:04,07:29:27,M38,8,,,,
28046028,07:30:35,07:30:57,M39,9,,,,
28046028,07:32:08,07:32:30,M40,10,,,,
28046028,07:34:58,07:35:23,M41,11,,,,
28046028,07:36:54,07:37:34,M42,12,,,,
28046030,09:30:00,09:30:00,M19,0,,,,
28046030,09:31:08,09:31:36,M10,1,,,,
28046030,09:32:42,09:33:04,M18,2,,,,
28046030,09:33:58,09:34:26,M17,3,,,,
28046030,09:35:32,09:35:58,M16,4,,,,
28046030,09:37:07,09:37:34,M15,5,,,,
28046030,09:39:31,09:39:56,M14,6,,,,
28046030,09:41:56,09:42:37,M13,7,,,,
28046030,09:44:04,09:44:27,M38,8,,,,
28046030,09:45:35,09:45:57,M39,9,,,,
28046030,09:47:08,09:47:30,M40,10,,,,
28046030,09:49:58,09:50:23,M41,11,,,,
28046030,09:51:54,09:52:34,M42,12,,,,
28046032,10:05:50,10:05:50,M19,0,,,,
28046032,10:06:58,10:07:26,M10,1,,,,
28046032,10:08:32,10:08:54,M18,2,,,,
28046032,10:09:48,10:10:16,M17,3,,,,
28046032,10:11:22,10:11:48,M16,4,,,,
28046032,10:12:57,10:13:24,M15,5,,,,
28046032,10:15:21,10:15:46,M14,6,,,,
28046032,10:17:46,10:18:27,M13,7,,,,
28046032,10:19:54,10:20:17,M38,8,,,,
28046032,10:21:25,10:21:47,M39,9,,,,
28046032,10:22:58,10:23:20,M40,10,,,,
28046032,10:25:48,10:26:13,M41,11,,,,
28046032,10:27:44,10:28:24,M42,12,,,,
28046034,16:45:00,16:45:00,M19,0,,,,
28046034,16:46:08,16:46:36,M10,1,,,,
28046034,16:47:42,16:48:04,M18,2,,,,
28046034,16:48:58,16:49:26,M17,3,,,,
28046034,16:50:32,16:50:58,M16,4,,,,
28046034,16:52:07,16:52:34,M15,5,,,,
28046034,16:54:31,16:54:56,M14,6,,,,
28046034,16:56:56,16:57:37,M13,7,,,,
28046034,16:59:04,16:59:27,M38,8,,,,
28046034,17:00:35,17:00:57,M39,9,,,,
28046034,17:02:08,17:02:30,M40,10,,,,
28046034,17:04:58,17:05:23,M41,11,,,,
28046034,17:06:54,17:07:34,M42,12,,,,
28046036,19:00:00,19:00:00,M19,0,,,,
28046036,19:01:08,19:01:36,M10,1,,,,
28046036,19:02:42,19:03:04,M18,2,,,,
28046036,19:03:58,19:04:26,M17,3,,,,
28046036,19:05:32,19:05:58,M16,4,,,,
28046036,19:07:07,19:07:34,M15,5,,,,
28046036,19:09:31,19:09:56,M14,6,,,,
28046036,19:11:56,19:12:37,M13,7,,,,
28046036,19:14:04,19:14:27,M38,8,,,,
28046036,19:15:35,19:15:57,M39,9,,,,
28046036,19:17:08,19:17:30,M40,10,,,,
28046036,19:19:58,19:20:23,M41,11,,,,
28046036,19:21:54,19:22:34,M42,12,,,,
28046038,20:00:00,20:00:00,M19,0,,,,
28046038,20:01:08,20:01:36,M10,1,,,,
28046038,20:02:42,20:03:04,M18,2,,,,
28046038,20:03:58,20:04:26,M17,3,,,,
28046038,20:05:32,20:05:58,M16,4,,,,
28046038,20:07:07,20:07:34,M15,5,,,,
28046038,20:09:31,20:09:56,M14,6,,,,
28046038,20:11:56,20:12:37,M13,7,,,,
28046038,20:14:04,20:14:27,M38,8,,,,
28046038,20:15:35,20:15:57,M39,9,,,,
28046038,20:17:08,20:17:30,M40,10,,,,
28046038,20:19:58,20:20:23,M41,11,,,,
28046038,20:21:54,20:22:34,M42,12,,,,
28046040,20:30:00,20:30:00,M19,0,,,,
28046040,20:31:08,20:31:36,M10,1,,,,
28046040,20:32:42,20:33:04,M18,2,,,,
